Planta;Estación;Litros de agua demandados por planta por estación
1;1;2047,5
1;2;1137,5
1;3;682,5
1;4;1592,5
2;1;2502,5
2;2;1592,5
2;3;1137,5
2;4;2047,5
3;1;2047,5
3;2;1137,5
3;3;682,5
3;4;1592,5
4;1;2957,5
4;2;2047,5
4;3;1592,5
4;4;2502,5
5;1;2502,5
5;2;1592,5
5;3;1137,5
5;4;2047,5
6;1;2047,5
6;2;1137,5
6;3;682,5
6;4;1592,5
7;1;1592,5
7;2;682,5
7;3;455
7;4;1137,5
8;1;1137,5
8;2;682,5
8;3;455
8;4;910
9;1;2047,5
9;2;1137,5
9;3;682,5
9;4;1592,5
10;1;2047,5
10;2;1137,5
10;3;682,5
10;4;1592,5
11;1;2047,5
11;2;1137,5
11;3;682,5
11;4;1592,5
12;1;1137,5
12;2;682,5
12;3;455
12;4;910
13;1;2502,5
13;2;1592,5
13;3;1137,5
13;4;2047,5
14;1;1137,5
14;2;682,5
14;3;455
14;4;910
15;1;68,25
15;2;36,4
15;3;22,75
15;4;68,25
16;1;2047,5
16;2;1137,5
16;3;682,5
16;4;1592,5
17;1;2047,5
17;2;1137,5
17;3;682,5
17;4;1592,5
18;1;2502,5
18;2;1592,5
18;3;1137,5
18;4;2047,5
19;1;2047,5
19;2;1137,5
19;3;682,5
19;4;1592,5
20;1;1592,5
20;2;910
20;3;682,5
20;4;1137,5
21;1;2047,5
21;2;1137,5
21;3;682,5
21;4;1592,5
22;1;2502,5
22;2;1592,5
22;3;1137,5
22;4;2047,5
23;1;1137,5
23;2;910
23;3;682,5
23;4;910
24;1;1137,5
24;2;682,5
24;3;455
24;4;910
25;1;2047,5
25;2;1137,5
25;3;682,5
25;4;1592,5
26;1;2047,5
26;2;1137,5
26;3;682,5
26;4;1592,5
27;1;1592,5
27;2;910
27;3;682,5
27;4;1137,5
28;1;2502,5
28;2;1592,5
28;3;1137,5
28;4;2047,5
29;1;2047,5
29;2;1137,5
29;3;682,5
29;4;1592,5
30;1;2502,5
30;2;1592,5
30;3;1137,5
30;4;2047,5
31;1;1137,5
31;2;910
31;3;682,5
31;4;910
32;1;1592,5
32;2;910
32;3;682,5
32;4;1137,5
33;1;1137,5
33;2;682,5
33;3;455
33;4;910
34;1;1137,5
34;2;910
34;3;682,5
34;4;910
35;1;2047,5
35;2;1137,5
35;3;682,5
35;4;1592,5
36;1;2047,5
36;2;1137,5
36;3;682,5
36;4;1592,5
37;1;1137,5
37;2;682,5
37;3;455
37;4;910
38;1;1592,5
38;2;910
38;3;682,5
38;4;1137,5
39;1;1137,5
39;2;682,5
39;3;455
39;4;910
40;1;1592,5
40;2;682,5
40;3;455
40;4;1137,5
